tricep pushdown,triceps,,3.5
reverse ab crunch,abdominals,,3.0
seated leg curl,hamstrings,glutes,2.0
flutter kick,abdominals,,3.0
incline dumbbell press,chest,front delts,4.0
dumbbell shoulder press,shoulders,chest,4.0
crossbody hammer curl,biceps,forearms,2.5
bicep ez curl,biceps,,2.0
dumbbell bicep curl,biceps,forearms,3.5
bent over dumbbell row,middle back,upper back,5.0
ab roller,abdominals,lower back,3.0
arm curl machine,biceps,forearms,3.0
arnold press,front delts,rear delts,3.0
bench press,chest,triceps,5.0
calf raise,calves,,3.0
chest press machine,chest,,3.0
close grip lateral pulldown,middle back,biceps,4.0
cross cable fly,chest,,4.0
deadlift,glutes,lower back,5.0
flat bench dumbbell press,chest,triceps,5.0
hanging leg raise,abdominals,,4.0
incline bench press,chest,front delts,4.0
isolated glute hamstring developer,glutes,hamstrings,3.5
isolated tricep pushdown,triceps,,3.5
lateral pulldown,upper back,biceps,4.0
lateral raise,side delts,front delts,2.0
leg extension,quadriceps,,2.0
leg press,quadriceps,hamstrings,4.0
lying leg raise,abdominals,,2.0
overhead tricep pull,triceps,,2.0
pec fly,chest,front delts,2.0
power tower leg raise,abdominals,,3.0
prone leg curl,hamstrings,calves,3.0
russian twist,obliques,abdominals,4.0
seated cable row,middle back,forearms,3.0
seated calf raise,calves,,2.0
squat,quadriceps,hamstrings,5.0
t bar row with handle,middle back,rear delts,3.0
tricep press machine,triceps,,2.0
